TEMPERATURA MÉDIA MÊS (°C),year_month
22.53,2000-05
21.69079754601227,2000-06
21.146102150537633,2000-07
23.497340425531917,2000-08
23.180660377358492,2000-09
25.13393719806763,2000-10
21.720588235294116,2000-11
23.866888888888887,2000-12
24.20394736842105,2001-01
24.411699164345407,2001-02
22.725875000000002,2001-03
23.708547008547008,2001-04
22.73837837837838,2001-05
21.397050561797755,2001-06
22.011788617886175,2001-07
21.272475570032572,2001-08
24.183917197452228,2001-09
22.64829268292683,2001-10
22.201608187134504,2001-11
23.128401360544217,2001-12
23.483753943217664,2002-01
22.653879310344827,2002-02
23.995888594164455,2002-03
23.866256830601092,2002-04
22.845429362880886,2002-05
21.46217008797654,2002-06
22.179748603351957,2002-07
23.54102564102564,2002-08
23.74279778393352,2002-09
26.069969040247678,2002-10
23.53035230352304,2002-11
23.197067039106145,2002-12
23.194154228855723,2003-01
23.919852941176472,2003-02
22.377514792899408,2003-03
23.590548780487804,2003-04
21.747042253521126,2003-05
21.89942196531792,2003-06
21.03632707774799,2003-07
22.66332288401254,2003-08
24.302997275204362,2003-09
23.974296675191816,2003-10
22.782758620689656,2003-11
24.15036319612591,2003-12
21.908125,2004-01
22.287068965517243,2004-02
22.51728045325779,2004-03
22.449698795180723,2004-04
19.69375,2004-05
17.737121212121213,2004-06
17.445,2004-07
19.955737704918032,2004-08
22.54607843137255,2004-09
21.633516483516484,2004-10
21.455940594059406,2004-11
20.31371681415929,2004-12
20.547777777777775,2005-01
21.324666666666666,2005-02
20.81261682242991,2005-03
21.296825396825398,2005-04
19.25220588235294,2005-05
20.83127659574468,2005-06
20.88212365591398,2005-07
23.014583333333334,2005-08
24.99279778393352,2005-09
26.26044520547945,2005-10
22.197966507177036,2005-11
21.552771362586604,2005-12
23.31012048192771,2006-01
23.57619760479042,2006-02
22.671,2006-03
22.55483383685801,2006-04
21.725461254612547,2006-05
20.173750000000002,2006-06
21.010027100271003,2006-07
23.634375,2006-08
23.653601108033243,2006-09
22.292892156862745,2006-10
22.340430622009567,2006-11
22.588452088452087,2006-12
23.04478155339806,2007-01
22.470936639118456,2007-02
24.193407960199004,2007-03
23.7510989010989,2007-04
22.520096463022508,2007-05
22.133147632311974,2007-06
22.5002688172043,2007-07
22.391056910569105,2007-08
25.19726775956284,2007-09
25.556082725060826,2007-10
23.329526462395542,2007-11
22.92058139534884,2007-12
22.637682926829267,2008-01
22.66112600536193,2008-02
22.444173441734414,2008-03
23.194429347826087,2008-04
21.859005376344086,2008-05
21.235277777777778,2008-06
20.681317204301077,2008-07
23.410887096774193,2008-08
25.405742296918767,2008-09
25.851842751842753,2008-10
22.97482014388489,2008-11
22.147350230414744,2008-12
23.28210900473934,2009-01
23.70722222222222,2009-02
24.027860696517415,2009-03
22.33100558659218,2009-04
21.76653225806452,2009-05
21.09285714285714,2009-06
22.758625336927224,2009-07
22.848378378378378,2009-08
24.498060941828257,2009-09
23.431472081218274,2009-10
23.905408653846155,2009-11
22.3066985645933,2009-12
24.060705596107056,2010-01
25.04803571428571,2010-02
24.227468354430382,2010-03
23.54293628808864,2010-04
23.816935483870964,2010-05
21.612151394422312,2010-06
21.519761904761904,2010-07
22.71694214876033,2010-08
25.589583333333334,2010-09
24.471307506053268,2010-10
22.359330143540667,2010-11
22.826430205949656,2010-12
23.089618138424818,2011-01
23.423907103825137,2011-02
22.94345088161209,2011-03
23.180381471389648,2011-04
21.93306451612903,2011-05
21.367916666666666,2011-06
21.863709677419358,2011-07
24.506216216216217,2011-08
25.345290858725765,2011-09
21.876618705035973,2011-10
21.830568720379148,2011-11
22.149415887850466,2011-12
21.665655339805824,2012-01
23.065957446808508,2012-02
23.44641089108911,2012-03
23.998378378378376,2012-04
20.972459893048125,2012-05
22.06354748603352,2012-06
21.644354838709674,2012-07
21.445135135135136,2012-08
25.47741046831956,2012-09
25.518115942028984,2012-10
22.468888888888888,2012-11
24.12188940092166,2012-12
22.381294964028775,2013-01
24.65341530054645,2013-02
23.674004975124376,2013-03
22.399046321525887,2013-04
22.640725806451613,2013-05
21.659254143646407,2013-06
21.75766129032258,2013-07
22.956052631578945,2013-08
24.195077720207255,2013-09
23.341985645933015,2013-10
23.005966587112173,2013-11
22.570794392523368,2013-12
23.797342995169082,2014-01
23.361171662125344,2014-02
22.626904176904176,2014-03
23.19318181818182,2014-04
22.410887096774193,2014-05
21.39206128133705,2014-06
20.935066666666668,2014-07
23.560771276595744,2014-08
25.686088154269974,2014-09
24.987380952380953,2014-10
23.107261904761906,2014-11
22.273190045248867,2014-12
25.11449275362319,2015-01
23.34349593495935,2015-02
22.3643216080402,2015-03
23.232972972972973,2015-04
21.46706989247312,2015-05
21.03,2015-06
22.061827956989248,2015-07
23.48575268817204,2015-08
26.789226519337017,2015-09
27.30889423076923,2015-10
25.074113475177306,2015-11
24.471788990825686,2015-12
22.423222748815164,2016-01
25.233554376657825,2016-02
24.34825870646766,2016-03
24.98082191780822,2016-04
23.856300268096515,2016-05
22.26375,2016-06
22.85967741935484,2016-07
23.92394736842105,2016-08
25.76382978723404,2016-09
24.67648456057007,2016-10
22.811137440758294,2016-11
23.393249427917617,2016-12
24.13472906403941,2017-01
22.662567567567567,2017-02
23.904156479217605,2017-03
24.092702702702702,2017-04
22.744086021505375,2017-05
21.579583333333332,2017-06
19.20591397849462,2017-07
24.124732620320856,2017-08
23.704166666666666,2017-09
26.441252955082746,2017-10
22.693645083932854,2017-11
22.70069124423963,2017-12
23.596778350515464,2018-01
23.127123287671232,2018-02
23.642733990147782,2018-03
21.99986413043478,2018-04
21.638440860215052,2018-05
21.760555555555555,2018-06
21.663037634408603,2018-07
23.640826873385013,2018-08
25.657012987012983,2018-09
24.597380952380952,2018-10
22.052625298329357,2018-11
23.252540415704388,2018-12
24.947518610421834,2019-01
23.971756756756754,2019-02
23.16151960784314,2019-03
23.278108808290156,2019-04
23.121524064171123,2019-05
21.532028985507246,2019-06
21.67857142857143,2019-07
23.348129675810476,2019-08
26.69126984126984,2019-09
26.250735294117646,2019-10
24.330980861244022,2019-11
23.80320366132723,2019-12
23.79988009592326,2020-01
23.34973544973545,2020-02
23.056569343065696,2020-03
22.75979381443299,2020-04
21.249731903485255,2020-05
21.35388888888889,2020-06
21.513502673796793,2020-07
22.360847880299254,2020-08
25.68730769230769,2020-09
25.422518159806295,2020-10
22.981055155875303,2020-11
24.074588235294115,2020-12
24.287037037037038,2021-01
22.3073726541555,2021-02
23.7295,2021-03
22.680874316939892,2021-04
22.425134408602148,2021-05
21.676388888888887,2021-06
20.923924731182794,2021-07
22.988513513513514,2021-08
27.417036011080334,2021-09
24.896068796068796,2021-10
22.51303317535545,2021-11
22.474189814814814,2021-12
22.997826086956522,2022-01
22.919283746556474,2022-02
24.081141439205958,2022-03
24.438648648648645,2022-04
21.930563002680962,2022-05
21.93402777777778,2022-06
21.561796246648793,2022-07
23.387890625000004,2022-08
25.178591160220996,2022-09
25.306785714285716,2022-10
22.181872037914694,2022-11
21.96362586605081,2022-12
22.760391198044008,2023-01
24.666849315068493,2023-02
23.375935162094763,2023-03
22.816172506738546,2023-04
22.433064516129033,2023-05
21.471666666666664,2023-06
22.12265415549598,2023-07
24.116666666666667,2023-08
26.540364583333336,2023-09
26.416992665036673,2023-10
26.04578313253012,2023-11
25.029930394431556,2023-12
